h1, 15.0
h2, 5626.525547445256
h3, 8126.51094890511
h1, 15.0
h2, 3573.5794615449963
h3, 5943.302665783476
h1, 15.0
h2, 2507.028997989002
h3, 4275.9115243501
h1, 15.0
h2, 1792.9118126934848
h3, 3068.825364973916
h1, 15.0
h2, 1287.5556034155927
h3, 2202.6474681201985
h1, 15.0
h2, 926.3414356859756
h3, 1582.0345298444195
h1, 15.0
h2, 667.7075551660619
h3, 1137.4832339654342
h1, 15.0
h2, 482.46703266170977
h3, 819.0608887302114
h1, 15.0
h2, 349.78596384306735
h3, 590.9836994888109
h1, 15.0
h2, 254.75048221349292
h3, 427.61848305508073
h1, 15.0
h2, 186.67930481133854
h3, 310.6046425156884
h1, 15.0
h2, 137.92186881861713
h3, 226.7909725141359
h1, 15.0
h2, 102.9983114031312
h3, 166.75763629316975
h1, 15.0
h2, 77.98356550354225
h3, 123.75747350881423
h1, 15.0
h2, 60.06621802894921
h3, 92.95768599901442
h1, 15.0
h2, 47.23253417350385
h3, 70.896678570429
h1, 15.0
h2, 38.04013325915891
h3, 55.095009529486724
h1, 15.0
h2, 31.455879234950878
h3, 43.776725662011096
h1, 15.0
h2, 26.739766278247846
h3, 35.66976244358026
h1, 15.0
h2, 23.36174937024102
h3, 29.862976415368824
h1, 15.0
h2, 20.942172414485142
h3, 25.70374156146283
h1, 15.0
h2, 19.209098600985715
h3, 22.724600520980104
h1, 15.0
h2, 17.967747365641713
h3, 20.5907269478748
h1, 15.0
h2, 17.07860295789223
h3, 19.062294300973534
h1, 15.0
h2, 16.441734233454945
h3, 17.967521683908874
h1, 15.0
h2, 15.985563370059438
h3, 17.183367350707154
h1, 15.0
h2, 15.658821219556021
h3, 16.621700015687654
h1, 15.0
h2, 15.424785156575313
h3, 16.219393758015343
h1, 15.0
h2, 15.257151814225324
h3, 15.931233284954047
h1, 15.0
h2, 15.13708084264286
h3, 15.724832174726853
h1, 15.0
h2, 15.051077437743508
h3, 15.576992959131328
h1, 15.0
h2, 14.989475657089963
h3, 15.47109995475823
h1, 15.0
h2, 14.945352062400557
h3, 15.395251822515434
h1, 15.0
h2, 14.91374759273004
h3, 15.34092397339283
h1, 15.0
h2, 14.891110214470501
h3, 15.302010487944827
h1, 15.0
h2, 14.874895707478046
h3, 15.274137870600917
h1, 15.0
h2, 14.863281719586244
h3, 15.254173511493633
h1, 15.0
h2, 14.854962952027439
h3, 15.239873611715772
h1, 15.0
h2, 14.84900445660432
h3, 15.229631002245664
h1, 15.0
h2, 14.84473655664722
h3, 15.222294513851562
h1, 15.0
h2, 14.841679581899347
h3, 15.217039596917171
h1, 15.0
h2, 14.839489958266398
h3, 15.213275650120835
h1, 15.0
h2, 14.83792159344516
h3, 15.210579642617285
h1, 15.0
h2, 14.836798218553016
h3, 15.208648569503744
h1, 15.0
h2, 14.835993577227729
h3, 15.207265397029289
h1, 15.0
h2, 14.835417235645867
h3, 15.206274670121704
