 4.44915609914220e+006, 5.74944419277540e+006, 0.00000000000000e+000
 4.45015609914220e+006, 5.74944419277540e+006, 0.00000000000000e+000
 4.45115609914220e+006, 5.74944419277540e+006, 0.00000000000000e+000
 4.45215609914220e+006, 5.74944419277540e+006, 0.00000000000000e+000
 4.45315609914220e+006, 5.74944419277540e+006, 0.00000000000000e+000
 4.45415609914220e+006, 5.74944419277540e+006, 0.00000000000000e+000
 4.45515609914220e+006, 5.74944419277540e+006, 0.00000000000000e+000
 4.44915609914220e+006, 5.74844419277540e+006, 0.00000000000000e+000
 4.45615609914220e+006, 5.74844419277540e+006, 0.00000000000000e+000
 4.45715609914220e+006, 5.74844419277540e+006, 0.00000000000000e+000
 4.45015609914220e+006, 5.74744419277540e+006, 0.00000000000000e+000
 4.45815609914220e+006, 5.74744419277540e+006, 0.00000000000000e+000
 4.45915609914220e+006, 5.74744419277540e+006, 0.00000000000000e+000
 4.46015609914220e+006, 5.74744419277540e+006, 0.00000000000000e+000
 4.46115609914220e+006, 5.74744419277540e+006, 0.00000000000000e+000
 4.45115609914220e+006, 5.74644419277540e+006, 0.00000000000000e+000
 4.46215609914220e+006, 5.74644419277540e+006, 0.00000000000000e+000
 4.44815609914220e+006, 5.74544419277540e+006, 0.00000000000000e+000
 4.44915609914220e+006, 5.74544419277540e+006, 0.00000000000000e+000
 4.45015609914220e+006, 5.74544419277540e+006, 0.00000000000000e+000
 4.46315609914220e+006, 5.74544419277540e+006, 0.00000000000000e+000
 4.46415609914220e+006, 5.74544419277540e+006, 0.00000000000000e+000
 4.46515609914220e+006, 5.74544419277540e+006, 0.00000000000000e+000
 4.44815609914220e+006, 5.74444419277540e+006, 0.00000000000000e+000
 4.46515609914220e+006, 5.74444419277540e+006, 0.00000000000000e+000
 4.44715609914220e+006, 5.74344419277540e+006, 0.00000000000000e+000
 4.46615609914220e+006, 5.74344419277540e+006, 0.00000000000000e+000
 4.44715609914220e+006, 5.74244419277540e+006, 0.00000000000000e+000
 4.46615609914220e+006, 5.74244419277540e+006, 0.00000000000000e+000
 4.44715609914220e+006, 5.74144419277540e+006, 0.00000000000000e+000
 4.46615609914220e+006, 5.74144419277540e+006, 0.00000000000000e+000
 4.44815609914220e+006, 5.74044419277540e+006, 0.00000000000000e+000
 4.46615609914220e+006, 5.74044419277540e+006, 0.00000000000000e+000
 4.44915609914220e+006, 5.73944419277540e+006, 0.00000000000000e+000
 4.46615609914220e+006, 5.73944419277540e+006, 0.00000000000000e+000
 4.45015609914220e+006, 5.73844419277540e+006, 0.00000000000000e+000
 4.46615609914220e+006, 5.73844419277540e+006, 0.00000000000000e+000
 4.45015609914220e+006, 5.73744419277540e+006, 0.00000000000000e+000
 4.46515609914220e+006, 5.73744419277540e+006, 0.00000000000000e+000
 4.44915609914220e+006, 5.73644419277540e+006, 0.00000000000000e+000
 4.46315609914220e+006, 5.73644419277540e+006, 0.00000000000000e+000
